user,time_stamp,btag,cate,brand,order_id
2090,1492818294,buy,6423,145635,85
2094,1492828358,buy,10702,313515,86
2094,1492828358,buy,10702,313515,86
2094,1492829712,buy,6863,138984,86
2144,1492831546,buy,6261,270915,87
2167,1492790515,buy,6400,430532,88
2167,1492790515,buy,6408,26385,88
2167,1492790515,buy,6406,26385,88
2167,1492790515,buy,6407,26385,88
2170,1492827814,buy,6261,128071,89
2179,1492826592,buy,4267,150331,90
2179,1492830994,buy,6617,95340,90
2184,1492827754,buy,771,123548,91
2210,1492828830,buy,12075,432846,92
2254,1492821460,buy,12691,38046,93
2254,1492832386,buy,6251,15244,93
2277,1492832052,buy,6806,293023,94
2303,1492828238,buy,10925,351496,95
2303,1492828238,buy,7621,256029,95
2303,1492828550,buy,7583,93780,95
2312,1492831171,buy,8993,91893,96
2388,1492832417,buy,11681,387520,97
2390,1492792039,buy,6183,275944,98
2390,1492792039,buy,6952,275944,98
2399,1492799044,buy,7340,250070,99
2399,1492799044,buy,4267,55341,99
2399,1492799044,buy,6613,375600,99
2399,1492799044,buy,6243,155887,99
2399,1492799044,buy,6255,59698,99
2408,1492819173,buy,6571,261083,100
2408,1492819173,buy,6606,261083,100
2409,1492832905,buy,12422,370203,101
2414,1492815739,buy,5152,127468,102
2470,1492814779,buy,9186,30759,103
2470,1492814779,buy,9186,104487,103
2472,1492825610,buy,1102,162102,104
2472,1492831705,buy,7620,425589,104
2479,1492818769,buy,567,331007,105
2488,1492830219,buy,4263,388700,106
2492,1492821699,buy,8998,58561,107
2501,1492827030,buy,12016,174859,108
2521,1492830625,buy,6097,412145,109
2521,1492830625,buy,5555,443956,109
2521,1492830625,buy,5555,361395,109
2521,1492830789,buy,1535,171120,109
2527,1492832762,buy,9015,87581,110
2527,1492832762,buy,5460,53710,110
2540,1492791414,buy,6069,337255,111
2540,1492791414,buy,6068,337255,111
2540,1492791414,buy,6068,337255,111
2540,1492791414,buy,6068,337255,111
2542,1492826434,buy,6261,244129,112
2544,1492823123,buy,7214,282597,113
2544,1492823123,buy,7214,282597,113
2598,1492827298,buy,6404,75218,114
2629,1492820742,buy,6423,150737,115
2667,1492824678,buy,5999,388162,116
2667,1492824779,buy,5999,388162,116
2667,1492825325,buy,5999,388162,116
2712,1492824005,buy,508,48315,117
2749,1492804953,buy,5437,222087,118
2749,1492804953,buy,10650,222087,118
2749,1492804953,buy,11740,222087,118
2749,1492804953,buy,11740,222087,118
2749,1492804953,buy,5480,222087,118
2762,1492819268,buy,12422,370203,119
2764,1492803391,buy,2552,326342,120
2764,1492803391,buy,2552,326342,120
2764,1492803391,buy,2552,326342,120
2764,1492821261,buy,822,92329,120
2764,1492821261,buy,6057,92329,120
2764,1492821261,buy,822,157385,120
2764,1492822370,buy,6183,207916,120
2764,1492822370,buy,6952,207916,120
2778,1492829540,buy,6711,98641,121
2778,1492829540,buy,6686,3400,121
2778,1492829540,buy,6716,138260,121
2778,1492829540,buy,6716,138260,121
2778,1492829540,buy,6711,98641,121
2778,1492829540,buy,6716,138260,121
2808,1492829435,buy,4620,222087,122
2808,1492829435,buy,9112,222087,122
2808,1492829435,buy,1145,222087,122
2808,1492829435,buy,5443,222087,122
2808,1492829435,buy,5443,222087,122
2808,1492829435,buy,5408,222087,122
2808,1492829435,buy,4621,222087,122
2808,1492829435,buy,9112,222087,122
2825,1492832734,buy,6409,249544,123
2825,1492832735,buy,1535,221426,123
2839,1492816979,buy,6423,181921,124
2891,1492792433,buy,4263,388700,125
2962,1492822317,buy,5477,238126,126
2966,1492822381,buy,4385,350385,127
2986,1492810170,buy,6152,23781,128
2986,1492810723,buy,6409,33333,128
3000,1492832083,buy,6412,444804,129
3072,1492820415,buy,10875,176786,130
3078,1492806888,buy,8864,459982,131
3078,1492811745,buy,4263,388700,131
3079,1492826952,buy,6249,155614,132
3079,1492827013,buy,6249,155614,132
3088,1492831045,buy,4253,160524,133
3093,1492829338,buy,5539,284064,134
3096,1492793484,buy,562,448716,135
3098,1492820518,buy,4262,370203,136
3131,1492827976,buy,5410,373476,137
3133,1492830751,buy,4726,11744,138
3145,1492796865,buy,6426,39455,139
3154,1492792188,buy,10859,186540,140
3154,1492792358,buy,10859,186540,140
3154,1492792530,buy,10859,186540,140
3163,1492826194,buy,4263,388700,141
3172,1492815223,buy,4316,76705,142
3172,1492816403,buy,4438,267021,142
3176,1492830099,buy,4505,70806,143
3176,1492830099,buy,4505,70806,143
3176,1492830169,buy,4505,70806,143
3176,1492830169,buy,4505,70806,143
3220,1492818411,buy,4510,69609,144
3227,1492825405,buy,841,393034,145
3247,1492824185,buy,6512,428340,146
3247,1492824185,buy,6512,428340,146
3316,1492792136,buy,8212,440592,147
3317,1492823361,buy,4262,370203,148
3317,1492829790,buy,7340,255820,148
3319,1492825392,buy,11740,261805,149
3319,1492825392,buy,11740,261805,149
3319,1492825392,buy,11740,261805,149
3336,1492806395,buy,4281,89471,150
3336,1492806992,buy,4281,89471,150
3336,1492812090,buy,5945,285423,150
3352,1492830636,buy,7339,363624,151
3352,1492832268,buy,123,182608,151
3354,1492827058,buy,4520,355674,152
3354,1492827058,buy,4520,355674,152
3354,1492827107,buy,5945,396529,152
3354,1492827107,buy,5945,396529,152
3354,1492828437,buy,4520,355674,152
3354,1492828437,buy,4520,355674,152
3354,1492830977,buy,5944,248427,152
3425,1492826433,buy,6255,4007,153
3425,1492826433,buy,6255,4007,153
3425,1492826433,buy,6255,6612,153
3425,1492826433,buy,6255,4007,153
3425,1492826433,buy,6255,6612,153
3425,1492826433,buy,6255,4007,153
3425,1492826433,buy,6255,4007,153
3425,1492826433,buy,6255,4007,153
3470,1492809985,buy,6932,352238,154
3472,1492827899,buy,6682,302455,155
3472,1492827899,buy,6709,90282,155
3472,1492827899,buy,6711,90282,155
3472,1492827899,buy,6716,90282,155
3472,1492827899,buy,6686,90282,155
3472,1492827899,buy,6725,90282,155
3472,1492827899,buy,6711,90282,155
3472,1492827899,buy,6711,90282,155
3472,1492827899,buy,6711,90282,155
3472,1492827899,buy,6725,90282,155
3472,1492827899,buy,6725,90282,155
3495,1492831037,buy,7146,124570,156
3495,1492831037,buy,7146,124570,156
3507,1492791254,buy,6409,26994,157
3516,1492830594,buy,12074,367372,158
3516,1492830594,buy,4316,39716,158
3516,1492830594,buy,6621,230753,158
3516,1492830594,buy,6085,55403,158
3516,1492830594,buy,5162,448972,158
3516,1492830594,buy,6578,129994,158
3516,1492831035,buy,6085,229522,158
3516,1492831035,buy,6080,229522,158
3516,1492831035,buy,5162,318046,158
3516,1492831035,buy,4316,39716,158
3516,1492831035,buy,6578,129994,158
3516,1492831035,buy,6103,229522,158
3516,1492831035,buy,9094,124405,158
3516,1492831035,buy,9097,124405,158
3516,1492831035,buy,12074,367372,158
3516,1492831035,buy,11717,282553,158
3535,1492824004,buy,4312,353787,159
3581,1492830028,buy,7207,344355,160
3623,1492827373,buy,6839,124290,161
3639,1492817904,buy,12439,59040,162
3683,1492820070,buy,6421,288985,163
3683,1492824518,buy,6421,269810,163
3688,1492823847,buy,856,416918,164
3719,1492793952,buy,4571,319981,165
3719,1492793952,buy,6491,232424,165
3724,1492830194,buy,5832,299936,166
3730,1492826012,buy,11156,58577,167
3813,1492825571,buy,4262,370203,168
3824,1492830876,buy,6165,93068,169
3824,1492830876,buy,4589,93068,169
3867,1492825400,buy,2672,226304,170
3873,1492790511,buy,1535,23290,171
3873,1492790672,buy,6245,394170,171
3890,1492827220,buy,771,37012,172
3964,1492828439,buy,6541,264023,173
3974,1492829724,buy,8074,331742,174
3988,1492829059,buy,6932,227535,175
4042,1492809583,buy,6515,423934,176
4042,1492823494,buy,1157,403962,176
4042,1492826094,buy,1157,188059,176
4042,1492826911,buy,6515,39211,176
4042,1492827456,buy,6515,39211,176
4048,1492831153,buy,4520,143597,177
4082,1492821619,buy,4262,370203,178
4129,1492823979,buy,6515,241390,179
4129,1492823979,buy,6515,241390,179
4176,1492818173,buy,4505,193215,180
4178,1492818791,buy,5467,334302,181
4178,1492818791,buy,5467,334302,181
4188,1492810038,buy,4262,370203,182
4197,1492825663,buy,11740,247789,183
4210,1492792011,buy,4280,120899,184
4211,1492816047,buy,1101,181578,185
4225,1492827081,buy,6621,239518,186
4326,1492825896,buy,8060,238669,187
4326,1492826193,buy,8071,325634,187
4328,1492831083,buy,978,182401,188
4328,1492831083,buy,978,182401,188
4355,1492824859,buy,6166,45929,189
4378,1492828779,buy,4432,20684,190
4412,1492833031,buy,4385,439114,191
4418,1492829877,buy,6952,139558,192
4418,1492829877,buy,856,139558,192
4418,1492829877,buy,6182,139558,192
4418,1492829877,buy,6952,139558,192
4418,1492829877,buy,6952,139558,192
4418,1492830390,buy,6952,139558,192
4418,1492830390,buy,856,139558,192
4418,1492830390,buy,6952,139558,192
4418,1492830390,buy,6182,139558,192
4418,1492830390,buy,6952,139558,192
4426,1492829492,buy,6341,32527,193
4471,1492828322,buy,6198,115,194
4472,1492833001,buy,5410,136220,195
4538,1492820420,buy,11417,252584,196
4538,1492820420,buy,11417,195240,196
4553,1492832433,buy,5751,429609,197
4553,1492832433,buy,2335,160271,197
4553,1492832433,buy,2208,160271,197
4554,1492800124,buy,4263,388700,198
4554,1492800132,buy,4263,388700,198
4561,1492822721,buy,5213,390518,199
4574,1492821282,buy,5828,266970,200
4576,1492831579,buy,4283,37459,201
4588,1492820411,buy,6479,222644,202
4612,1492812295,buy,6845,392763,203
4612,1492828451,buy,9151,27637,203
4613,1492822679,buy,4263,388700,204
4699,1492821869,buy,6152,252916,205
4699,1492821912,buy,6152,454188,205
4704,1492822999,buy,4505,159130,206
4704,1492822999,buy,4505,159130,206
4704,1492822999,buy,4385,159130,206
4704,1492824091,buy,6286,204443,206
4721,1492827733,buy,6432,132353,207
4721,1492827733,buy,6432,132353,207
4722,1492830946,buy,842,168792,208
4725,1492823238,buy,6404,181325,209
4725,1492823238,buy,7432,116687,209
4725,1492823238,buy,8888,355606,209
4725,1492823238,buy,8888,355606,209
4725,1492823238,buy,6180,237787,209
4732,1492832863,buy,6183,291377,210
4732,1492832894,buy,6183,287613,210
4744,1492822479,buy,8998,21393,211
4781,1492812813,buy,12422,370203,212
4832,1492827769,buy,4292,282202,213
4832,1492827769,buy,4292,282202,213
4843,1492825156,buy,12422,370203,214
4854,1492830095,buy,12422,370203,215
4864,1492830919,buy,4520,452559,216
4864,1492830919,buy,4520,452559,216
4975,1492828466,buy,492,247789,217
4975,1492828466,buy,492,354587,217
4989,1492827444,buy,6617,365712,218
4991,1492821144,buy,4267,177078,219
5031,1492821112,buy,8217,7713,220
5031,1492821112,buy,8202,7713,220
5034,1492827791,buy,4565,74512,221
5034,1492829532,buy,5539,447465,221
5034,1492829772,buy,5945,111758,221
5037,1492793223,buy,5480,195924,222
5067,1492829325,buy,5510,77970,223
5074,1492816673,buy,859,67774,224
5074,1492822643,buy,859,67774,224
5086,1492790562,buy,11722,450306,225
5086,1492790562,buy,26,83456,225
5106,1492832297,buy,5945,243418,226
5119,1492825694,buy,4828,120358,227
5141,1492809831,buy,5160,405466,228
5151,1492816348,buy,5945,401771,229
5155,1492812147,buy,6576,112686,230
5155,1492812147,buy,9095,334601,230
5155,1492812147,buy,9102,331905,230
5155,1492812281,buy,6576,112686,230
5155,1492812281,buy,9102,331905,230
5155,1492812281,buy,9095,334601,230
5158,1492824738,buy,6198,279569,231
5160,1492833032,buy,6409,112656,232
5188,1492832137,buy,4282,286142,233
5188,1492833141,buy,4282,286142,233
5207,1492795345,buy,4262,370203,234
5239,1492825333,buy,1681,211460,235
5239,1492825333,buy,6080,212492,235
5239,1492825333,buy,6069,337645,235
5239,1492825842,buy,1681,182984,235
5273,1492827564,buy,6617,67661,236
5282,1492790717,buy,11156,347943,237
5282,1492790900,buy,6734,17204,237
5305,1492818588,buy,6246,331997,238
5305,1492818588,buy,7184,331997,238
5305,1492818588,buy,6245,331997,238
5305,1492818588,buy,6251,331997,238
5305,1492818588,buy,6243,331997,238
5341,1492827594,buy,6311,388636,239
5341,1492827962,buy,4280,81785,239
5341,1492828354,buy,4280,373589,239
5360,1492816627,buy,5480,385210,240
5402,1492818832,buy,4337,335394,241
5402,1492823244,buy,4337,335394,241
5412,1492819069,buy,7339,197977,242
5421,1492795976,buy,5859,454940,243
5421,1492795976,buy,4854,282953,243
5421,1492796014,buy,2232,442636,243
5421,1492796014,buy,5868,442636,243
5426,1492819279,buy,6421,227679,244
5441,1492810287,buy,4262,370203,245
5483,1492822553,buy,4781,116189,246
5483,1492822553,buy,4592,256305,246
5483,1492822553,buy,4593,437822,246
5483,1492823743,buy,623,195260,246
5536,1492796238,buy,4280,371912,247
5536,1492796825,buy,6421,259943,247
5541,1492813218,buy,4282,193678,248
5541,1492816571,buy,1665,85683,248
5561,1492791919,buy,5545,264281,249
5561,1492830018,buy,6511,42178,249
5577,1492822142,buy,5858,108165,250
5619,1492796870,buy,6255,127767,251
5697,1492831174,buy,7219,124098,252
5768,1492790675,buy,45,350892,253
5768,1492791142,buy,5203,81734,253
5768,1492791482,buy,5203,350892,253
5771,1492819340,buy,6423,392314,254
5793,1492791179,buy,6432,150411,255
5809,1492828251,buy,6432,260796,256
5838,1492826610,buy,4479,353723,257
5838,1492826942,buy,4284,381859,257
5846,1492831963,buy,4520,297719,258
5921,1492815652,buy,5444,263983,259
5921,1492815749,buy,5444,263983,259
6000,1492801389,buy,6432,160,260
6020,1492814706,buy,6426,73140,261
6027,1492828080,buy,4505,280214,262
6027,1492828080,buy,4505,280214,262
6047,1492791316,buy,5539,224985,263
6062,1492792395,buy,5467,208817,264
6062,1492792747,buy,5467,208817,264
6062,1492792747,buy,5467,208817,264
6069,1492821049,buy,9102,129994,265
6112,1492824864,buy,4263,388700,266
6112,1492827443,buy,4263,388700,266
6117,1492811884,buy,8071,459658,267
6161,1492826555,buy,5920,344741,268
6195,1492812154,buy,4396,299315,269
6213,1492826636,buy,12422,370203,270
6235,1492825942,buy,4771,259496,271
6248,1492822632,buy,1101,71293,272
6255,1492831553,buy,4807,97739,273
6298,1492821650,buy,4267,291832,274
6420,1492831081,buy,4281,64591,275
6448,1492826188,buy,4437,21055,276
6448,1492827176,buy,5492,101037,276
6448,1492827191,buy,5492,101037,276
6475,1492824309,buy,6423,253841,277
6487,1492829026,buy,6180,439007,278
6487,1492829119,buy,6180,439007,278
6512,1492830645,buy,7270,358723,279
6512,1492830877,buy,7270,358723,279
6512,1492831096,buy,7270,358723,279
6515,1492827076,buy,3787,262226,280
6565,1492814464,buy,6735,328829,281
6619,1492822833,buy,4337,225642,282
6638,1492832660,buy,877,229955,283
6649,1492824951,buy,731,289539,284
6649,1492824951,buy,731,289539,284
6658,1492811347,buy,4262,370203,285
6681,1492829778,buy,6142,236531,286
6692,1492831448,buy,5405,374661,287
6798,1492822580,buy,4301,248198,288
6834,1492816398,buy,5230,234193,289
6834,1492816398,buy,10483,220064,289
6850,1492817530,buy,6408,29941,290
6850,1492817530,buy,5158,81362,290
6850,1492817530,buy,4267,301147,290
6850,1492817617,buy,4384,98690,290
6850,1492817975,buy,10244,4524,290
6850,1492818011,buy,10244,4524,290
6850,1492818224,buy,697,36241,290
6850,1492830733,buy,385,52708,290
6850,1492831291,buy,5517,390697,290
6890,1492823277,buy,4262,370203,291
6900,1492823494,buy,6181,292992,292
6900,1492824433,buy,366,376699,292
6900,1492825056,buy,5410,136220,292
6900,1492827765,buy,8879,369730,292
6914,1492791641,buy,5944,365795,293
6914,1492824756,buy,1101,363857,293
6914,1492824756,buy,6261,245683,293
6914,1492824756,buy,5944,365795,293
6914,1492824756,buy,6410,97858,293
6921,1492821568,buy,6160,129939,294
6959,1492792731,buy,123,182608,295
6959,1492792731,buy,1028,459810,295
6967,1492821725,buy,4262,370203,296
6989,1492829967,buy,6544,269660,297
6989,1492830085,buy,6544,269660,297
6996,1492817697,buy,5986,128264,298
7013,1492827132,buy,6964,144358,299
7013,1492827132,buy,12269,144358,299
7013,1492827132,buy,5256,80750,299
7013,1492827132,buy,6684,144358,299
7013,1492827132,buy,6721,170436,299
7014,1492826544,buy,6761,256408,300
7121,1492820555,buy,4840,263168,301
7121,1492820570,buy,4840,263168,301
7141,1492832622,buy,4262,370203,302
7183,1492825802,buy,8998,24011,303
7186,1492818552,buy,5944,199389,304
7219,1492818966,buy,6621,230753,305
7219,1492818966,buy,8191,129994,305
7219,1492818966,buy,1692,256409,305
7219,1492818966,buy,5751,240910,305
7219,1492818966,buy,12674,170345,305
7219,1492818966,buy,12075,432846,305
7219,1492818966,buy,6541,199354,305
7222,1492801637,buy,4281,392782,306
7224,1492826592,buy,5467,410191,307
7251,1492827414,buy,4270,235354,308
7257,1492822657,buy,6736,235503,309
7271,1492832967,buy,4262,370203,310
7293,1492831257,buy,4505,98931,311
7319,1492833288,buy,5760,301969,312
7328,1492825927,buy,10733,211381,313
7328,1492825927,buy,10732,257875,313
7358,1492822354,buy,6057,96133,314
7365,1492826552,buy,6446,85360,315
7394,1492832427,buy,5944,312866,316
7398,1492833042,buy,4516,405854,317
7400,1492829972,buy,2200,226265,318
7400,1492829982,buy,2200,226265,318
7400,1492831340,buy,6432,34926,318
7416,1492829870,buy,12771,249203,319
7463,1492830572,buy,7905,329747,320
7463,1492832063,buy,7905,329747,320
7488,1492827904,buy,7655,170866,321
7493,1492829655,buy,8921,279313,322
7503,1492832198,buy,6281,133602,323
7526,1492791333,buy,5518,393214,324
7526,1492791431,buy,5518,393214,324
7526,1492791543,buy,5518,393214,324
7526,1492791630,buy,5518,393214,324
7533,1492827987,buy,7746,311456,325
7548,1492823826,buy,5871,183742,326
7548,1492825735,buy,11803,334096,326
7548,1492825863,buy,6932,274347,326
7548,1492825988,buy,6421,185,326
7548,1492826897,buy,5335,276317,326
7548,1492826975,buy,2378,148500,326
7548,1492827014,buy,6932,457123,326
7576,1492827838,buy,1478,206139,327
7582,1492832689,buy,4262,370203,328
7625,1492830495,buy,6255,6612,329
7687,1492827694,buy,859,424141,330
7710,1492820213,buy,6739,348572,331
7719,1492813651,buy,2488,121483,332
7719,1492813717,buy,4741,184515,332
7719,1492813872,buy,6621,324979,332
7743,1492813217,buy,7146,24679,333
7743,1492813217,buy,7146,24679,333
7746,1492830070,buy,1044,322314,334
7746,1492832860,buy,7429,214854,334
7749,1492828919,buy,6606,60852,335
7769,1492830350,buy,4267,51871,336
7769,1492833273,buy,4267,258720,336
7798,1492832379,buy,9119,429682,337
7837,1492812656,buy,5869,208792,338
7859,1492823151,buy,5944,353524,339
7903,1492815563,buy,5467,439322,340
7903,1492816366,buy,5467,229309,340
7909,1492827646,buy,12439,67617,341
7934,1492809960,buy,6617,162607,342
7965,1492791220,buy,6621,243354,343
7965,1492791254,buy,6621,243354,343
7991,1492823599,buy,5413,282940,344
7991,1492823599,buy,10012,282953,344
7991,1492823737,buy,5413,282940,344
7991,1492823737,buy,10012,282953,344
7991,1492823913,buy,5413,282940,344
7991,1492824115,buy,5413,282940,344
7991,1492824115,buy,5256,432353,344
7993,1492825506,buy,8173,54687,345
7993,1492825534,buy,8173,371706,345
7993,1492828525,buy,2241,12020,345
7993,1492828525,buy,2241,12020,345
7993,1492828525,buy,2241,12020,345
7993,1492828525,buy,2241,12020,345
8004,1492832637,buy,4520,143597,346
8010,1492828002,buy,4262,370203,347
8013,1492830677,buy,4505,430864,348
8013,1492830901,buy,4505,430864,348
8014,1492829393,buy,6295,193679,349
8055,1492832526,buy,2515,339778,350
8069,1492817452,buy,6410,212257,351
8069,1492817750,buy,6255,398256,351
8090,1492815150,buy,1101,284802,352
8141,1492818880,buy,6300,405873,353
8141,1492818975,buy,5954,143597,353
8172,1492829773,buy,6267,449253,354
8172,1492832366,buy,4262,370203,354
8201,1492793469,buy,932,195240,355
8201,1492793469,buy,932,184921,355
8201,1492793469,buy,123,19221,355
8201,1492793469,buy,123,19221,355
8201,1492793469,buy,123,126774,355
8201,1492793469,buy,123,182401,355
8201,1492793469,buy,123,211816,355
8201,1492793469,buy,123,19171,355
8201,1492793469,buy,123,19171,355
8232,1492832226,buy,12422,370203,356
8278,1492817040,buy,4520,45645,357
8358,1492832799,buy,470,73794,358
8364,1492821159,buy,4262,370203,359
8415,1492790597,buy,4505,102424,360
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8419,1492833018,buy,8275,36241,361
8460,1492813584,buy,8952,95096,362
8462,1492826741,buy,4315,34665,363
8465,1492830991,buy,133,381566,364
8465,1492830991,buy,133,381566,364
8465,1492830991,buy,133,297439,364
8465,1492830991,buy,133,243122,364
8465,1492830991,buy,133,297439,364
8465,1492830991,buy,133,297439,364
8481,1492803850,buy,4385,192975,365
8495,1492814982,buy,4262,370203,366
8495,1492815020,buy,4262,370203,366
8495,1492817186,buy,11791,207245,366
8597,1492825495,buy,257,116994,367
8597,1492825555,buy,257,116994,367
8610,1492814865,buy,11204,44976,368
8615,1492817843,buy,6932,243354,369
8639,1492792436,buy,4520,426258,370
8650,1492829285,buy,1166,250070,371
8684,1492831360,buy,1673,262005,372
8687,1492794269,buy,4505,37396,373
8687,1492794269,buy,4505,74369,373
8697,1492832120,buy,5403,264740,374
8706,1492818377,buy,4714,359190,375
8706,1492821059,buy,4714,359190,375
8713,1492833312,buy,6806,246355,376
8779,1492827739,buy,6423,293023,377
8816,1492816492,buy,4282,95098,378
8823,1492796058,buy,6166,32053,379
8823,1492822487,buy,5460,99904,379
8823,1492830905,buy,5467,27436,379
8860,1492820724,buy,6052,251193,380
8877,1492823380,buy,6246,451869,381
8877,1492824417,buy,9823,291532,381
8878,1492790869,buy,6497,140295,382
8902,1492829138,buy,6617,327045,383
8902,1492829163,buy,6617,327045,383
8911,1492797772,buy,12422,370203,384
8922,1492832154,buy,580,93127,385
8955,1492814224,buy,10220,432515,386
8973,1492791233,buy,5474,238143,387
8974,1492832050,buy,8071,257367,388
9000,1492823460,buy,10061,303766,389
9072,1492825810,buy,7184,77646,390
9072,1492826494,buy,6251,13858,390
9103,1492827615,buy,4520,444248,391
9103,1492827615,buy,4520,444248,391
9118,1492825241,buy,7448,173546,392
9124,1492821179,buy,10187,383023,393
9152,1492828173,buy,841,99047,394
9161,1492820901,buy,6621,72344,395
9190,1492828176,buy,7339,235358,396
9190,1492828176,buy,7339,235358,396
9202,1492830519,buy,4262,370203,397
9202,1492831159,buy,4262,370203,397
9202,1492833249,buy,6198,400397,397
9277,1492813360,buy,6097,224782,398
9277,1492813360,buy,6092,224782,398
9312,1492832616,buy,470,73794,399
9312,1492832616,buy,470,73794,399
9411,1492822059,buy,6540,130159,400
9411,1492822059,buy,4315,194057,400
9411,1492822059,buy,6405,101780,400
9411,1492822059,buy,6408,249544,400
9411,1492822059,buy,6399,78605,400
9411,1492822059,buy,4314,76705,400
9414,1492819283,buy,6421,58989,401
9428,1492824107,buy,12549,355558,402
9447,1492807402,buy,8868,429655,403
9456,1492796821,buy,6427,311408,404
9470,1492817242,buy,6246,71605,405
9510,1492828997,buy,7615,25511,406
9551,1492815793,buy,8203,349460,407
9555,1492794693,buy,4571,289655,408
9594,1492822437,buy,7383,339725,409
9603,1492827496,buy,2226,306257,410
9603,1492827496,buy,2243,422283,410
9618,1492830519,buy,5467,336520,411
9618,1492830544,buy,5467,352370,411
9630,1492791313,buy,6412,49604,412
9654,1492826190,buy,9102,443357,413
9692,1492829598,buy,9461,65342,414
9719,1492828194,buy,11123,418293,415
9720,1492797880,buy,7267,249339,416
9720,1492797880,buy,7267,249339,416
